textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2009,60,Seventh Day Adventist,3,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2010,34,Seventh Day Adventist,5,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2011,15,Seventh Day Adventist,8,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2012,55,Seventh Day Adventist,7,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2013,7,Seventh Day Adventist,7,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2014,17,Seventh Day Adventist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Kyrgyzstan,CY 2015,8,Seventh Day Adventist,1,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2005,"5,630",Ancestral Worship,"5,337","51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2006,563,Ancestral Worship,529,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2007,101,Ancestral Worship,100,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2008,41,Ancestral Worship,34,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2009,6,Ancestral Worship,6,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2010,135,Ancestral Worship,14,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2011,115,Ancestral Worship,1,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2012,18,Ancestral Worship,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2013,0,Ancestral Worship,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2014,0,Ancestral Worship,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2015,0,Ancestral Worship,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2005,"5,630",Animist,5,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2006,563,Animist,7,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2007,101,Animist,1,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2008,41,Animist,7,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2009,6,Animist,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2010,135,Animist,95,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2011,115,Animist,105,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2012,18,Animist,11,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2013,0,Animist,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2014,0,Animist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2015,0,Animist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2005,"5,630",Catholic,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2006,563,Catholic,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2007,101,Catholic,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2008,41,Catholic,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2009,6,Catholic,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2010,135,Catholic,9,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2011,115,Catholic,9,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2012,18,Catholic,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2013,0,Catholic,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2014,0,Catholic,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2015,0,Catholic,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2005,"5,630",Christian,288,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2006,563,Christian,27,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2007,101,Christian,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2008,41,Christian,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2009,6,Christian,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2010,135,Christian,17,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2011,115,Christian,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2012,18,Christian,7,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2013,0,Christian,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2014,0,Christian,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Laos,CY 2015,0,Christian,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2005,28,Baptist,1,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2006,9,Baptist,8,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2007,17,Baptist,13,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2008,7,Baptist,4,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2009,1,Baptist,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2010,0,Baptist,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2011,4,Baptist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2012,0,Baptist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2013,0,Baptist,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2014,0,Baptist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2015,0,Baptist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2005,28,Jewish,12,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2006,9,Jewish,1,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2007,17,Jewish,1,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2008,7,Jewish,2,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2009,1,Jewish,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2010,0,Jewish,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2011,4,Jewish,4,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2012,0,Jewish,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2013,0,Jewish,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2014,0,Jewish,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2015,0,Jewish,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2005,28,No Religion,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2006,9,No Religion,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2007,17,No Religion,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2008,7,No Religion,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2009,1,No Religion,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2010,0,No Religion,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2011,4,No Religion,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2012,0,No Religion,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2013,0,No Religion,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2014,0,No Religion,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2015,0,No Religion,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2005,28,Orthodox,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2006,9,Orthodox,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2007,17,Orthodox,2,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2008,7,Orthodox,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2009,1,Orthodox,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2010,0,Orthodox,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2011,4,Orthodox,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2012,0,Orthodox,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2013,0,Orthodox,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2014,0,Orthodox,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2015,0,Orthodox,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2005,28,Pentecostalist,15,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2006,9,Pentecostalist,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2007,17,Pentecostalist,1,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2008,7,Pentecostalist,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2009,1,Pentecostalist,1,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2010,0,Pentecostalist,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2011,4,Pentecostalist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2012,0,Pentecostalist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2013,0,Pentecostalist,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2014,0,Pentecostalist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Latvia,CY 2015,0,Pentecostalist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2005,0,Moslem,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2006,0,Moslem,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2007,1,Moslem,1,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2008,1,Moslem,1,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2009,3,Moslem,3,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2010,1,Moslem,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2011,1,Moslem,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2012,0,Moslem,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2013,0,Moslem,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2014,4,Moslem,1,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2015,0,Moslem,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2005,0,Moslem Shiite,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2006,0,Moslem Shiite,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2007,1,Moslem Shiite,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2008,1,Moslem Shiite,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2009,3,Moslem Shiite,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2010,1,Moslem Shiite,1,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2011,1,Moslem Shiite,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2012,0,Moslem Shiite,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2013,0,Moslem Shiite,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2014,4,Moslem Shiite,3,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2015,0,Moslem Shiite,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2005,0,Moslem Suni,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2006,0,Moslem Suni,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2007,1,Moslem Suni,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2008,1,Moslem Suni,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2009,3,Moslem Suni,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2010,1,Moslem Suni,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2011,1,Moslem Suni,1,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2012,0,Moslem Suni,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2013,0,Moslem Suni,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2014,4,Moslem Suni,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Lebanon,CY 2015,0,Moslem Suni,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Bahai,2,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Bahai,1,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Bahai,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Bahai,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Bahai,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Bahai,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Bahai,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Bahai,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Bahai,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Bahai,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Bahai,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Baptist,154,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Baptist,69,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Baptist,50,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Baptist,6,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Baptist,21,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Baptist,7,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Baptist,3,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Baptist,2,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Baptist,3,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Baptist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Baptist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Catholic,118,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Catholic,72,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Catholic,71,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Catholic,28,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Catholic,29,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Catholic,3,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Catholic,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Catholic,3,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Catholic,1,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Catholic,5,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Catholic,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Christian,"2,284","51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Christian,"1,443","39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Christian,899,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Christian,361,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Christian,262,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Christian,129,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Christian,84,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Christian,47,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Christian,46,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Christian,19,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Christian,7,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Evangelical Christian,2,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Evangelical Christian,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Evangelical Christian,0,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Evangelical Christian,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Evangelical Christian,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Evangelical Christian,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Evangelical Christian,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Evangelical Christian,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Evangelical Christian,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Evangelical Christian,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Evangelical Christian,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Jehovah Witness,19,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Jehovah Witness,20,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Jehovah Witness,6,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Jehovah Witness,4,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Jehovah Witness,1,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Jehovah Witness,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Jehovah Witness,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Jehovah Witness,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Jehovah Witness,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Jehovah Witness,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Jehovah Witness,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Lutheran,84,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Lutheran,41,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Lutheran,80,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Lutheran,11,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Lutheran,6,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Lutheran,11,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Lutheran,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Lutheran,1,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Lutheran,2,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Lutheran,3,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Lutheran,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Methodist,103,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Methodist,39,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Methodist,71,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Methodist,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Methodist,10,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Methodist,9,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Methodist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Methodist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Methodist,3,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Methodist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Methodist,1,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Moslem,"1,172","51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Moslem,207,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Moslem,335,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Moslem,164,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Moslem,97,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Moslem,21,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Moslem,42,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Moslem,3,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Moslem,15,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Moslem,1,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Moslem,3,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Other Religion,0,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Other Religion,0,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Other Religion,15,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Other Religion,0,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Other Religion,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Other Religion,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Other Religion,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Other Religion,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Other Religion,0,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Other Religion,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Other Religion,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Pentecostalist,115,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Pentecostalist,64,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Pentecostalist,269,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Pentecostalist,19,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Pentecostalist,16,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Pentecostalist,1,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Pentecostalist,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Pentecostalist,0,"66,292"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2013,81,Pentecostalist,11,"66,066"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2014,28,Pentecostalist,0,"72,820"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2015,11,Pentecostalist,0,"60,640"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2005,"4,069",Protestant,15,"51,902"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2006,"1,995",Protestant,14,"39,552"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2007,"1,822",Protestant,18,"47,753"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2008,602,Protestant,5,"64,734"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2009,447,Protestant,0,"79,943"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2010,181,Protestant,0,"71,362"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2011,132,Protestant,0,"51,458"
From: 01 Jan 2005,To: 31 Dec 2015,Liberia,CY 2012,56,Protestant,0,"66,292"
